question_id,source_kind,course_id,level,module_id,title,ข้อที่,รูปแบบโจทย์,คำถาม (Question),ตัวเลือก (Choices),เฉลย (Answer),มาตราที่เกี่ยวข้อง (Sections),คำอธิบายเหตุผล (Explanation),hint_1,hint_2,hint_3,yaml_path,source_note
q-level1-41216-import-011,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,กรณีใดไม่ใช่เป็นผลโดยตรง,11,MCQ,กรณีใดไม่ใช่เป็นผลโดยตรง,"ก. นายเหลืองโกรธนายแดง นายเหลืองชกนายแดงล้มศีรษะฟาดพื้น นายแดงตาย 
ข. นายเหลืองขับรถยนต์ด้วยความเร็วสูง นายแดงวิ่งตัดหน้ารถยนต์ รถยนต์ของนายเหลืองชนนายแดงถึงแก่ความตาย 
ค. นายแดงขับรถยนต์มาด้วยความเร็วทำให้รถยนต์ชนท้ายรถบรรทุกห้องเย็นอย่างแรง และมีรถยนต์ของนายเหลืองที่ตามมาเบรกแล้วลื่นไถลมาชนท้ายรถยนต์ของนายแดงไม่รุนแรงมาก นายเหลืองได้รับบาดเจ็บเล็กน้อย แต่นายแดงถึงแก่ความตาย 
ง. นายเหลืองพยายามข่มขืนนางสาวแดงบริเวณระเบียงอาคารสูง นางสาวแดงขัดขืนผลัดตกระเบียงได้รับบาดเจ็บ 
จ. นายเหลืองขับรถยนต์มาด้วยความเร็วสูง จึงชนเหล็กกั้นที่ถนนเป็นเหตุให้คนตาย",ค,ทฤษฎีผลโดยตรง (มาตรา 59),ตามข้อ ค. นายแดงถึงแก่ความตายเนื่องจากแรงชนกับรถบรรทุกห้องเย็นอย่างรุนแรงจากการขับรถเร็วของตนเองเป็นหลัก การที่รถนายเหลืองไถลมาชนซ้ำเบาๆ ภายหลัง จึงไม่ใช่ผลโดยตรงและไม่ใช่เหตุที่ก่อให้เกิดความตายของนายแดงแต่อย่างใด,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 59,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-012,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,กรณีใดเป็นเหตุแทรกแซงที่คาดหมายไม่ได้,12,MCQ,กรณีใดเป็นเหตุแทรกแซงที่คาดหมายไม่ได้,"ก. นายดำใช้ขวานพกเล็กๆ ฟันที่ศีรษะนายขาว 1 ที มีบาดแผลเล็กน้อย ถ้ารักษาตามวิชาชีพแพทย์ปัจจุบันก็หาย แต่นายขาวปล่อยแผลไว้สกปรกเกิดหนองและเป็นพิษขึ้นและถึงแก่ความตายภายใน 3 วัน 
ข. นายดำทำร้ายนายขาวบาดเจ็บ ระหว่างรักษาตัวที่โรงพยาบาลนายขาวเกิดความกลุ้มใจที่ต้องมานอนเจ็บไม่สามารถหาเงินมาใช้หนี้สินได้ นายขาวจึงตัดสินใจยิงตัวตายเพื่อหนีหนี้สิน 
ค. นายดำทำร้ายนายขาวบาดเจ็บ ระหว่างที่รักษาตัวที่โรงพยาบาลนายขาวทนพิษบาดแผลจากการถูกทำร้ายไม่ได้ และถึงแก่ความตาย 
ง. นายดำทำร้ายนายขาวบาดเจ็บ การถูกทำร้ายทำให้นายขาวขาดความรู้สึกผิดชอบชั่วดี นายขาวจึงฆ่าตัวตาย 
จ. นายขาวถูกนายดำแทง และเนื่องจากรักษาแผลไม่ดี บาดแผลเน่า จึงเป็นพิษ นายขาวถึงแก่ความตาย",ข,ทฤษฎีความสัมพันธ์ระหว่างการกระทำและผล,การทำร้ายร่างกายส่งผลให้บาดเจ็บ แต่การที่ผู้เสียหายตัดสินใจ 'ยิงตัวตายเพื่อหนีหนี้สิน' ภายหลัง ถือเป็นเหตุแทรกแซงที่เกิดจากการตัดสินใจอิสระของผู้เสียหายเอง ซึ่งวิญญูชนไม่อาจคาดหมายได้ ผลความตายจึงคาดหมายไม่ได้และไม่สัมพันธ์กับการทำร้ายของดำ,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณาหลักกฎหมายอาญาที่เกี่ยวข้อง,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-013,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,ข้อใดไม่ถือว่าเป็นหลักในการวินิจฉัยในเรื่องการลงมือกระทำความ,13,MCQ,ข้อใดไม่ถือว่าเป็นหลักในการวินิจฉัยในเรื่องการลงมือกระทำความผิด,"ก. หลักความใกล้ชิดต่อผล (The Proximity Rule) 
ข. หลักความไม่คลุมเครือ (Unequivocal Rule) 
ค. หลักความสัมพันธ์ระหว่างการกระทำและผล (Causation) 
ง. หลักความเป็นภยันตรายของการกระทำนั้น (The Criterion of Danger) 
จ. หลักการกระทำขั้นตอนที่สำคัญ (The Substantial Step Rule)",ค,มาตรา 80 (ขั้นพยายาม),"หลักความใกล้ชิดต่อผล, ความไม่คลุมเครือ, ความเป็นภยันตราย และขั้นตอนสำคัญ เป็นหลักเกณฑ์ทางอาชญาวิทยาและกฎหมายที่ใช้แยกแยะระหว่าง 'ขั้นตระเตรียม' กับ 'ขั้นลงมือพยายาม' ส่วนหลักความสัมพันธ์ระหว่างการกระทำและผล (Causation) เป็นเรื่องการพิจารณาผลสรุปสุดท้ายของความรับผิด ไม่ใช่หลักแบ่งแยกขั้นลงมือ",โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 80,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-014,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,กรณีใดเป็นการพยายามกระทำความผิด,14,MCQ,กรณีใดเป็นการพยายามกระทำความผิด,"ก. นายขาวต้องการฆ่านายเขียวจึงไปซื้อยาพิษมาเตรียมไว้เพื่อจะฆ่านายเขียว 
ข. นายขาวซื้อมีดสปาต้าไว้เพื่อเตรียมไปฆ่านายเขียว 
ค. นายขาวพกปืนเข้าไปในบ้านนายเขียวโดยมีเจตนาจะฆ่านายเขียว แต่แสงไฟสว่างขึ้น จึงถูกจับได้ก่อนที่จะกระทำสำเร็จ 
ง. นายขาวท้าให้นายเขียวยิง นายเขียวจึงชักปืนออกมา ปากกระบอกพ้นเอว ยังไม่ทันหันปากกระบอกปืนไปทางนายขาว นายขาวแย่งปืนได้ 
จ. นายขาวกับพวกอีก 2 คน ใช้เส้นลวดขึงกั้นสะพานบนถนนดักรถที่ผ่านไปมาเพื่อเอาทรัพย์สิน นายแดงขับรถยนต์ผ่านมาเห็นเส้นลวด และหยุดรถได้ทันระยะห่าง 3 วา แล้วลงไปดูใต้สะพานพบนายขาวถือปลายลวดข้างหนึ่ง จึงจับตัวได้",จ,มาตรา 80,"การใช้ลวดขึงกั้นถนนในระยะที่รถแล่นผ่านแล้ว ถือว่าเป็นการกระทำขั้นสุดท้ายที่ใกล้ชิดต่อผลในการประทุษร้ายต่อทรัพย์/วิ่งราว/ปล้นทรัพย์แล้ว การที่รถหยุดทันเป็นเหตุบังเอิญ จึงเป็นความผิดฐานพยายามสำเร็จ ส่วนข้อ ก, ข, ค, ง ยังเป็นเพียงขั้นตระเตรียมการหรือยังไม่ใกล้ชิดผลพอ",โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 80,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-015,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,บ้านแดงอยู่ในที่เปลี่ยว เคยมีขโมยเข้าไปลักทรัพย์หลายครั้งแล้,15,MCQ,บ้านแดงอยู่ในที่เปลี่ยว เคยมีขโมยเข้าไปลักทรัพย์หลายครั้งแล้ว แดงมีธุระไปต่างจังหวัดจึงขึงลวดไฟฟ้าตามแนวรั้วบ้านไว้เพื่อป้องกันคนร้าย ดำลอบเข้าไปในบ้านแดงเพื่อลักทรัพย์และถูกไฟฟ้าดูดถึงแก่ความตาย ดังนี้ การกระทำของแดงเป็นความผิดประการใดหรือไม่,"ก. ผิดฐานฆ่าผู้อื่นโดยเจตนาเล็งเห็นผล 
ข. ผิดฐานฆ่าผู้อื่นโดยไม่เจตนา 
ค. เป็นการป้องกันเกินสมควรแก่เหตุ 
ง. เป็นการป้องกันพอสมควรแก่เหตุ 
จ. ไม่เป็นความผิดเพราะขาดเจตนา",ง,มาตรา 68,การติดตั้งลวดไฟฟ้าปล่อยกระแสสลับตามแนวรั้วบ้านในที่เปลี่ยวเพื่อป้องกันคนร้ายลักทรัพย์ ถือเป็นการติดตั้งทรัพย์สินเพื่อป้องกันสิทธิและทรัพย์สินตามควรแก่เหตุ เมื่อคนร้ายลักลอบเข้ามาในยามวิกาลและถูกไฟดูดตาย ถือเป็นการป้องกันพอสมควรแก่เหตุตามมาตรา 68 แดงไม่มีความผิด (ตามแนวคำพิพากษาศาลฎีกา),โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 68,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-016,pasted_quiz_data,41216,1,ความผิดเกี่ยวกับทรัพย์,นายกเทศมนตรีขอความร่วมมือให้ประชาชนตัดต้นไม้ที่ขึ้นรกอยู่ริม,16,MCQ,นายกเทศมนตรีขอความร่วมมือให้ประชาชนตัดต้นไม้ที่ขึ้นรกอยู่ริมทาง ขาวตัดต้นไม้ริมทางในที่ดินของตนและตัดต้นไม้ล้ำเข้าไปในเขตที่ดินของเขียวคู่อริด้วย ทั้งที่รู้ว่าต้นไม้นั้นปลูกอยู่ในเขตที่ดินของเขียว เช่นนี้ การกระทำของขาวเป็นความผิดตามข้อใดหรือไม่,"ก. ผิด เพราะมิใช่คำสั่งของเจ้าพนักงาน 
ข. ผิด เพราะกระทำเกินคำสั่งของเจ้าพนักงาน 
ค. ผิด แต่ได้รับลดหย่อนผ่อนโทษ เพราะกระทำตามคำสั่งของเจ้าพนักงาน 
ง. ผิด แต่ไม่ต้องรับโทษเพราะกระทำตามคำสั่งของเจ้าพนักงาน 
จ. ไม่ผิด เพราะกระทำตามคำสั่งของเจ้าพนักงาน",ข,มาตรา 358 (ทำให้เสียทรัพย์),การที่ขาวตัดต้นไม้ล้ำเข้าไปในที่ดินของเขียวโดยรู้ดีอยู่แล้ว เป็นการจงใจทำลายทรัพย์สินของผู้อื่นโดยทุจริตหรือกลั่นแกล้ง แดงจะอ้างคำสั่งขอความร่วมมือของนายกเทศมนตรีไม่ได้ เนื่องจากเป็นการกระทำที่เกินขอบเขตคำสั่งและมีเจตนาทุจริต จึงมีความผิดฐานทำให้เสียทรัพย์,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: ความผิดเกี่ยวกับทรัพย์,พิจารณามาตรา 358,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-017,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,หนึ่งจอดรถล็อคประตูแล้วรีบไปทำธุระโดยลืมว่าลูกของตนนอนอยู่ใน,17,MCQ,หนึ่งจอดรถล็อคประตูแล้วรีบไปทำธุระโดยลืมว่าลูกของตนนอนอยู่ในรถ ลูกของหนึ่งดิ้นทุรนทุรายอยู่ในรถเพราะขาดอากาศหายใจ สองมาประสบเหตุจึงใช้ไม้ทุบกระจกช่วยชีวิตลูกของหนึ่งได้ เช่นนี้ การกระทำของสองเป็นความผิดฐานทำให้เสียทรัพย์หรือไม่,"ก. ไม่ผิด เพราะขาดเจตนาทำให้เสียทรัพย์ 
ข. ไม่ผิด เพราะเป็นการป้องกันโดยชอบ 
ค. กระทำความผิดด้วยความจำเป็นไม่ต้องรับโทษ 
ง. กระทำความผิดด้วยเจตนาสุจริตไม่ต้องรับโทษ 
จ. เป็นความผิด แต่ยอมความได้เพราะมิใช่คดีอาญาแผ่นดิน",ค,มาตรา 67,การทุบกระจกรถยนต์ของผู้อื่นเข้าองค์ประกอบฐานทำให้เสียทรัพย์ แต่การทำไปเพื่อช่วยชีวิตเด็กที่กำลังจะตายจากขาดอากาศหายใจ ถือเป็นการกระทำเพื่อความจำเป็นให้บุคคลอื่นพ้นจากภยันตรายอันใกล้จะถึง และไม่สามารถหลีกเลี่ยงวิธีอื่นได้ สองมีความผิดแต่ไม่ต้องรับโทษตามมาตรา 67,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 67,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-018,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,สามีกระทำความผิดฐานรีดเอาทรัพย์จากภริยา เพื่อนำเงินไปรักษาตั,18,MCQ,สามีกระทำความผิดฐานรีดเอาทรัพย์จากภริยา เพื่อนำเงินไปรักษาตัวจากอาการเจ็บป่วย การกระทำของสามีดังกล่าวเป็นความผิดหรือไม่ประการใด,"ก. เป็นการกระทำความผิดด้วยความจำเป็นไม่ต้องรับโทษ 
ข. เป็นการกระทำระหว่างสามีและภริยา ไม่เป็นความผิด 
ค. เป็นการกระทำระหว่างสามีและภริยา ไม่ต้องรับโทษ 
ง. เป็นความผิด แต่ศาลจะลงโทษน้อยกว่าที่กฎหมายกำหนดไว้เพียงใดก็ได้ 
จ. เป็นความผิด ต้องรับโทษเช่นเดียวกันกับที่ผู้อื่นกระทำ",ค,มาตรา 71 วรรคแรก,ตามมาตรา 71 วรรคแรก ความผิดเกี่ยวกับทรัพย์บางฐานรวมถึงฐาน 'รีดเอาทรัพย์' (มาตรา 338) หากเป็นการกระทำที่สามีกระทำต่อภริยา หรือภริยากระทำต่อสามี กฎหมายบัญญัติให้ผู้กระทำนั้นไม่ต้องรับโทษ (มีความผิดแต่ไม่ต้องรับโทษ),โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 71,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-019,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,อ้ายลักทรัพย์ยี่ ซึ่งเป็นลูกพี่ลูกน้องกัน เพื่อนำเงินไปให้บิ,19,MCQ,อ้ายลักทรัพย์ยี่ ซึ่งเป็นลูกพี่ลูกน้องกัน เพื่อนำเงินไปให้บิดามารดาของยี่ซึ่งตกทุกข์ได้ยากเพราะยี่ทอดทิ้งไม่ขัดเกลาเลี้ยงดู เช่นนี้ การกระทำของอ้ายเป็นความผิดฐานฉ้อโกงหรือไม่ประการใด,"ก. เป็นการกระทำความผิดด้วยความจำเป็นไม่ต้องรับโทษ 
ข. เป็นการกระทำเพื่อธรรมจรรยาไม่ต้องรับโทษ 
ค. เป็นการกระทำการระหว่างลูกพี่ลูกน้อง ศาลจะลงโทษน้อยกว่าที่กฎหมายกำหนดเพียงใดก็ได้ 
ง. เป็นการกระทำการระหว่างลูกพี่ลูกน้อง ให้เป็นความผิดอันยอมความได้ 
จ. เป็นความผิด ต้องรับโทษเช่นเดียวกันกับที่ผู้อื่นกระทำ",จ,มาตรา 71 วรรคสอง,มาตรา 71 วรรคสอง กำหนดเหตุลดหย่อนโทษหรือยอมความได้ในความผิดเกี่ยวกับทรัพย์เฉพาะความผิดระหว่าง 'บุพการีกับผู้สืบสันดาน' หรือ 'พี่น้องร่วมบิดามารดาเดียวกัน' เท่านั้น ความสัมพันธ์เป็น 'ลูกพี่ลูกน้อง' ไม่เข้าเงื่อนไขตามมาตรา 71 อ้ายจึงต้องรับโทษตามปกติ,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 71,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-020,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,ม่วงเห็นส้มภริยาของตนนอนกอดกับดำอยู่ในห้อง ม่วงเห็นเหตุการณ์,20,MCQ,ม่วงเห็นส้มภริยาของตนนอนกอดกับดำอยู่ในห้อง ม่วงเห็นเหตุการณ์โดยไม่คาดคิดมาก่อน เกิดความโมโหจึงใช้ปืนยิงดำถึงแก่ความตาย ดังนี้ การกระทำของม่วงเป็นความผิดหรือไม่ ประการใด,"ก. เป็นการป้องกันพอสมควรแก่เหตุ 
ข. เป็นการป้องกันเกินสมควรแก่เหตุ 
ค. กระทำความผิด โดยบันดาลโทสะ 
ง. กระทำความผิดเพราะเชื่อโดยสุจริตว่ามีอำนาจกระทำได้ 
จ. กระทำความผิดโดยไม่มีเหตุยกเว้นหรือลดหย่อนผ่อนโทษแต่ประการใด",ค,มาตรา 72,การที่สามีพบภริยานอนกอดกับชายอื่น ถือเป็นการถูกข่มเหงอย่างร้ายแรงด้วยเหตุอันไม่เป็นธรรม ม่วงจึงเกิดความโมโหทำร้ายในทันด่วน การฆ่าดำจึงเป็นการกระทำความผิดโดยบันดาลโทสะตามมาตรา 72 ศาลจะลงโทษน้อยกว่าที่กฎหมายกำหนดไว้เพียงใดก็ได้,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 72,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-021,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,หนึ่งกับสองช่วยกันฉุดผู้หญิงมายังกระท่อมที่สามรออยู่ หนึ่งกั,21,MCQ,หนึ่งกับสองช่วยกันฉุดผู้หญิงมายังกระท่อมที่สามรออยู่ หนึ่งกับสองข่มขืนกระทำชำเราหญิงนั้นเสร็จแล้ว สามถอดกางเกงรออยู่จะข่มขืนเป็นคนต่อไป แต่ตำรวจเข้าจับกุมได้เสียก่อน ดังนั้นสามมีความผิดฐานกระทำชำเราด้วยหรือไม่,"ก. เป็นตัวการร่วมกระทำความผิด 
ข. เป็นผู้สนับสนุนการกระทำความผิด 
ค. พยายามกระทำความผิด 
ง. อยู่ในขั้นตระเตรียมการ ยังไม่เป็นความผิด 
จ. เป็นตัวการร่วมกระทำความผิดเฉพาะในความผิดต่อเสรีภาพ",ก,"มาตรา 83, 276",พฤติการณ์ที่มีการแบ่งหน้าที่กันทำในการฉุดผู้หญิงมาข่มขืนกระทำชำเราร่วมกันในสถานที่เดียวกัน แม้สามยังไม่ได้สอดใส่อวัยวะเพศเนื่องจากตำรวจจับกุมก่อน แต่การที่สามร่วมอยู่ในแผนการและรอคอยข่มขืนต่อเนื่อง ถือว่าสามมีลักษณะเป็นตัวการร่วมในฐานความผิดกระทำชำเราตามมาตรา 83,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,"พิจารณามาตรา 83, 276","",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-022,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,การใช้ให้ผู้อื่นกระทำความผิดนั้น หากได้ใช้แล้วแต่ผู้ถูกใช้ไม,22,MCQ,การใช้ให้ผู้อื่นกระทำความผิดนั้น หากได้ใช้แล้วแต่ผู้ถูกใช้ไม่ยอมกระทำเพราะกลัวความผิด ดังนี้ผู้ใช้ต้องรับโทษเพียงใดหรือไม่,"ก. ต้องรับโทษเสมือนตัวการ 
ข. ต้องรับโทษกึ่งหนึ่งของโทษที่กำหนดไว้สำหรับความผิดนั้น 
ค. ต้องรับโทษ 1 ใน 3 ของโทษที่กำหนดไว้สำหรับความผิดนั้น 
ง. ศาลจะลงโทษน้อยกว่าที่กฎหมายกำหนดสำหรับความผิดนั้นเพียงใดก็ได้ 
จ. เป็นความผิดแต่ได้รับยกเว้นโทษเพราะความผิดนั้นยังไม่ถึงขั้นลงมือกระทำ",ค,มาตรา 84 วรรคสอง,ตามมาตรา 84 วรรคสอง บัญญัติว่า ถ้าความผิดมิได้กระทำลง ไม่ว่าจะเป็นเพราะผู้ถูกใช้ไม่ได้กระทำ หรือเหตุอื่นใด ผู้ใช้ต้องระวางโทษเพียงหนึ่งในสามของโทษที่กำหนดไว้สำหรับความผิดนั้น,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณามาตรา 84,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-023,pasted_quiz_data,41216,1,ความผิดเกี่ยวกับทรัพย์,ส้มลักทรัพย์จากบ้านผู้เสียหาย แสดขับรถมาประสบเหตุพอดีจึงช่วย,23,MCQ,ส้มลักทรัพย์จากบ้านผู้เสียหาย แสดขับรถมาประสบเหตุพอดีจึงช่วยขนทรัพย์นั้นขึ้นรถพาส้มหนีไปเพื่อหวังส่วนแบ่ง ดังนี้ แสดมีความผิดฐานลักทรัพย์หรือไม่,"ก. เป็นตัวการร่วมกระทำความผิด 
ข. เป็นผู้สนับสนุนการกระทำความผิด ต้องรับโทษสองในสาม 
ค. เป็นผู้สนับสนุนการกระทำความผิด ต้องรับโทษกึ่งหนึ่ง 
ง. เป็นผู้สนับสนุนการกระทำความผิด ต้องรับโทษหนึ่งในสาม 
จ. ไม่ผิดฐานลักทรัพย์ แต่อาจเป็นความผิดฐานอื่น",จ,มาตรา 357 (รับของโจร),ความผิดฐานลักทรัพย์ของส้มสำเร็จเสร็จสิ้นไปแล้วตั้งแต่ตอนที่ส้มพาเอาทรัพย์ออกจากบ้านผู้เสียหาย การที่แสดขับรถมาเจอภายหลังแล้วช่วยพาทรัพย์และส้มหนี แสดจึงไม่มีความผิดฐานลักทรัพย์ แต่มีความผิดฐานช่วยพาเอาไปเสียซึ่งทรัพย์อันได้มาโดยการกระทำความผิด อันเป็นความผิดฐานรับของโจรตามมาตรา 357,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: ความผิดเกี่ยวกับทรัพย์,พิจารณามาตรา 357,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-024,pasted_quiz_data,41216,1,บทบัญญัติทั่วไปทางอาญา,หากความผิดเดียวกัน มีทั้งตัวการ ผู้ใช้ และผู้สนับสนุน การพิจ,24,MCQ,หากความผิดเดียวกัน มีทั้งตัวการ ผู้ใช้ และผู้สนับสนุน การพิจารณาความผิดจะต้องเริ่มต้นจากผู้ใดก่อน,"ก. ผู้ใช้ 
ข. ตัวการ 
ค. ผู้สนับสนุน 
ง. พิจารณาตามเหตุการณ์ 
จ. พิจารณาตามเหตุปัจจัย",ข,บทบัญญัติทั่วไปทางอาญา,ในการวินิจฉัยความรับผิดทางอาญาที่มีผู้เกี่ยวข้องหลายบทบาท จะต้องเริ่มต้นพิจารณาจาก 'ตัวการ' (ผู้ลงมือกระทำความผิดโดยตรง) ก่อนเสมอ เพื่อให้ทราบว่าความผิดสำเร็จหรืออยู่ในขั้นใด จากนั้นจึงจะพิจารณาความรับผิดของผู้ใช้และผู้สนับสนุนตามลำดับ,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: บทบัญญัติทั่วไปทางอาญา,พิจารณาหลักกฎหมายอาญาที่เกี่ยวข้อง,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
q-level1-41216-import-025,pasted_quiz_data,41216,1,อาชญาวิทยา,ทฤษฎีวางหลักเกณฑ์ไว้ว่า การลงโทษควรจะมองไปในอนาคตมากกว่ามองย,25,MCQ,ทฤษฎีวางหลักเกณฑ์ไว้ว่า การลงโทษควรจะมองไปในอนาคตมากกว่ามองย้อนหลังไปในอดีต,"ก. ทฤษฎีการลงโทษเพื่อแก้แค้น 
ข. ทฤษฎีการลงโทษเพื่อทดแทนแก่ผู้กระทำความผิด 
ค. ทฤษฎีการลงโทษแบบอรรถประโยชน์ 
ง. ทฤษฎีการลงโทษเพื่อปกป้องคุ้มครองสังคม 
จ. ทฤษฎีการลงโทษเพื่อแก้ไขฟื้นฟูผู้กระทำความผิด",จ,อาชญาวิทยา,ทฤษฎีการแก้ไขฟื้นฟู (Rehabilitation Theory) มีปรัชญาว่าการลงโทษไม่ใช่มุ่งเน้นแก้ไขอดีตหรือแก้แค้นทดแทน แต่เป็นการมองไปในอนาคตเพื่อปรับปรุงพฤติกรรมและทัศนคติของอาชญากรให้สามารถกลับคืนสู่สังคมได้อย่างปกติ,โจทย์นี้เป็น Level 1 แบบปรนัย เน้นจำแนกหลักกฎหมายและองค์ประกอบพื้นฐาน,หมวดเนื้อหา: อาชญาวิทยา,พิจารณาหลักกฎหมายอาญาที่เกี่ยวข้อง,"",นำเข้าจาก pasted-text.txt สำหรับ Level 1 วิชา 41216 วันที่ 2026-07-16
